Record Time,Status,0
00:05:50.528055,Added,1
00:05:50.528055,Removed,1
00:11:01.412145,Added,1
00:11:01.412145,Removed,4
00:15:55.152808,Removed,2
00:21:01.101466,Added,1
00:21:01.101466,Removed,4
00:25:53.154445,Added,3
00:25:53.154445,Removed,3
00:31:06.705879,Added,1
00:31:06.705879,Removed,2
00:35:52.752444,Removed,2
00:41:08.080718,Removed,1
00:45:57.489671,Added,2
00:45:57.489671,Removed,4
00:51:07.451627,Removed,1
00:55:55.928982,Removed,1
01:01:19.184853,Added,1
01:01:19.184853,Removed,4
01:06:01.114743,Removed,3
01:11:10.263981,Added,2
01:11:10.263981,Removed,7
01:16:00.777597,Added,1
01:16:00.777597,Removed,2
01:21:06.416093,Added,3
01:21:06.416093,Removed,1
01:25:57.923354,Added,1
01:25:57.923354,Removed,3
01:31:05.827835,Added,2
01:35:55.391518,Removed,1
01:46:05.742739,Added,1
01:46:05.742739,Removed,3
01:56:04.599103,Added,1
01:56:04.599103,Removed,2
02:01:18.700868,Removed,1
02:06:21.178267,Added,1
02:06:21.178267,Removed,2
